,SIC,descr_2dig,descr_4dig,color,US 1987 SIC 1,EMPLOYEES HERE,pct,pct2,Label
862,7359.0,Services,"Equipment Rental and Leasing, Not Elsewhere Classified",#FF0069,7359.0,600.0,0.0008436409857663705,0.08,"Equipment Rental and Leasing, Not Elsewhere Classified (0.08%)"
752,5921.0,Retail and wholesale trade,Liquor Stores,#FF9BCD,5921.0,598.0,0.0008408288491471492,0.08,Liquor Stores (0.08%)
433,3511.0,Manufacturing,"Steam, Gas, and Hydraulic Turbines, and Turbine Generator Set Units",#0072FF,3511.0,596.0,0.0008380167125279281,0.08,"Steam, Gas, and Hydraulic Turbines, and Turbine Generator Set Units (0.08%)"
615,4731.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Arrangement of Transportation of Freight and Cargo,#C3FF00,4731.0,586.0,0.0008239560294318218,0.08,Arrangement of Transportation of Freight and Cargo (0.08%)
577,4119.0,"Transportation, Communications, Electric, Gas, And Sanitary Services","Local Passenger Transportation, Not Elsewhere Classified",#C3FF00,4119.0,582.0,0.0008183317561933793,0.08,"Local Passenger Transportation, Not Elsewhere Classified (0.08%)"
624,4833.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Television Broadcasting Stations,#C3FF00,4833.0,579.0,0.0008141135512645476,0.08,Television Broadcasting Stations (0.08%)
526,3721.0,Manufacturing,Aircraft,#0072FF,3721.0,570.0,0.000801458936478052,0.08,Aircraft (0.08%)
918,7997.0,Services,Membership Sports and Recreation Clubs,#FF0069,7997.0,565.0,0.0007944285949299988,0.08,Membership Sports and Recreation Clubs (0.08%)
397,3421.0,Manufacturing,Cutlery,#0072FF,3421.0,555.0,0.0007803679118338927,0.08,Cutlery (0.08%)
984,9223.0,Public Administration,Correctional Institutions,#CD7CA4,9223.0,555.0,0.0007803679118338927,0.08,Correctional Institutions (0.08%)
790,6159.0,"Finance, Insurance, And Real Estate",Miscellaneous business Credit Institutions,#FFFF00,6159.0,542.0,0.0007620890238089547,0.08,Miscellaneous business Credit Institutions (0.08%)
270,2721.0,Manufacturing,"Periodicals: Publishing, or Publishing and Printing",#0072FF,2721.0,534.0,0.0007508404773320697,0.08,"Periodicals: Publishing, or Publishing and Printing (0.08%)"
710,5211.0,Retail and wholesale trade,Lumber and Other Building Materials Dealers,#FF9BCD,5211.0,532.0,0.0007480283407128485,0.07,Lumber and Other Building Materials Dealers (0.07%)
780,6036.0,"Finance, Insurance, And Real Estate","Savings Institutions, Not Federally Chartered",#FFFF00,6036.0,514.0,0.0007227191111398574,0.07,"Savings Institutions, Not Federally Chartered (0.07%)"
