,SIC,descr_2dig,descr_4dig,color,US 1987 SIC 1,EMPLOYEES HERE,pct,pct2,Label
662,5065.0,Retail and wholesale trade,"Electronic Parts and Equipment, Not Elsewhere Classified",#FF9BCD,5065.0,894.0,0.0006834282411813677,0.07,"Electronic Parts and Equipment, Not Elsewhere Classified (0.07%)"
524,3715.0,Manufacturing,Truck Trailers,#0072FF,3715.0,886.0,0.0006773125522222503,0.07,Truck Trailers (0.07%)
505,3661.0,Manufacturing,Telephone and Telegraph Apparatus,#0072FF,3661.0,878.0,0.0006711968632631328,0.07,Telephone and Telegraph Apparatus (0.07%)
954,8422.0,Services,Arboreta and Botanical or Zoological Gardens,#FF0069,8422.0,869.0,0.0006643167131841258,0.07,Arboreta and Botanical or Zoological Gardens (0.07%)
500,3646.0,Manufacturing,"Commercial, Industrial, and Institutional Electric Lighting Fixtures",#0072FF,3646.0,846.0,0.0006467341074266633,0.06,"Commercial, Industrial, and Institutional Electric Lighting Fixtures (0.06%)"
507,3669.0,Manufacturing,"Communications Equipment, Not Elsewhere Classified",#0072FF,3669.0,843.0,0.0006444407240669943,0.06,"Communications Equipment, Not Elsewhere Classified (0.06%)"
874,7381.0,Services,"Detective, Guard, and Armored Car Services",#FF0069,7381.0,832.0,0.0006360316517482079,0.06,"Detective, Guard, and Armored Car Services (0.06%)"
310,2895.0,Manufacturing,Carbon Black,#0072FF,2895.0,818.0,0.0006253291960697524,0.06,Carbon Black (0.06%)
890,7539.0,Services,"Automotive Repair Shops, Not Elsewhere Classified",#FF0069,7539.0,814.0,0.0006222713515901938,0.06,"Automotive Repair Shops, Not Elsewhere Classified (0.06%)"
471,3577.0,Manufacturing,"Computer Peripheral Equipment, Not Elsewhere Classified",#0072FF,3577.0,810.0,0.0006192135071106351,0.06,"Computer Peripheral Equipment, Not Elsewhere Classified (0.06%)"
957,8631.0,Services,Labor Unions and Similar Labor Organizations,#FF0069,8631.0,810.0,0.0006192135071106351,0.06,Labor Unions and Similar Labor Organizations (0.06%)
544,3825.0,Manufacturing,Instruments for Measuring and Testing of Electricity and Electrical Signals,#0072FF,3825.0,805.0,0.0006153912015111867,0.06,Instruments for Measuring and Testing of Electricity and Electrical Signals (0.06%)
929,8059.0,Services,"Nursing and Personal Care Facilities, Not Elsewhere Classified",#FF0069,8059.0,794.0,0.0006069821291924003,0.06,"Nursing and Personal Care Facilities, Not Elsewhere Classified (0.06%)"
74,1382.0,"Agriculture, Forestry, Fishing, Mining",Oil and Gas Field Exploration Services,#698705,1382.0,789.0,0.000603159823592952,0.06,Oil and Gas Field Exploration Services (0.06%)
739,5699.0,Retail and wholesale trade,Miscellaneous Apparel and Accessory Stores,#FF9BCD,5699.0,768.0,0.0005871061400752689,0.06,Miscellaneous Apparel and Accessory Stores (0.06%)
812,6519.0,"Finance, Insurance, And Real Estate","Lessors of Real Property, Not Elsewhere Classified",#FFFF00,6519.0,755.0,0.000577168145516703,0.06,"Lessors of Real Property, Not Elsewhere Classified (0.06%)"
919,7999.0,Services,"Amusement and Recreation Services, Not Elsewhere Classified",#FF0069,7999.0,755.0,0.000577168145516703,0.06,"Amusement and Recreation Services, Not Elsewhere Classified (0.06%)"
73,1381.0,"Agriculture, Forestry, Fishing, Mining",Drilling Oil and Gas Wells,#698705,1381.0,749.0,0.0005725813787973651,0.06,Drilling Oil and Gas Wells (0.06%)
98,1711.0,Construction,"Plumbing, Heating and Air-Conditioning",#696969,1711.0,745.0,0.0005695235343178063,0.06,"Plumbing, Heating and Air-Conditioning (0.06%)"
518,3694.0,Manufacturing,Electrical Equipment for Internal Combustion Engines,#0072FF,3694.0,740.0,0.000565701228718358,0.06,Electrical Equipment for Internal Combustion Engines (0.06%)
92,1541.0,Construction,General Contractors-Industrial Buildings and Warehouses,#696969,1541.0,735.0,0.0005618789231189097,0.06,General Contractors-Industrial Buildings and Warehouses (0.06%)
513,3677.0,Manufacturing,"Electronic Coils, Transformers, and Other Inductors",#0072FF,3677.0,708.0,0.0005412384728818885,0.05,"Electronic Coils, Transformers, and Other Inductors (0.05%)"
804,6371.0,"Finance, Insurance, And Real Estate","Pension, Health, and Welfare Funds",#FFFF00,6371.0,707.0,0.0005404740117619988,0.05,"Pension, Health, and Welfare Funds (0.05%)"
757,5944.0,Retail and wholesale trade,Jewelry Stores,#FF9BCD,5944.0,704.0,0.0005381806284023298,0.05,Jewelry Stores (0.05%)
944,8243.0,Services,Data Processing Schools,#FF0069,8243.0,689.0,0.0005267137116039847,0.05,Data Processing Schools (0.05%)
988,9411.0,Public Administration,Administration of Educational Programs,#CD7CA4,9411.0,678.0,0.0005183046392851983,0.05,Administration of Educational Programs (0.05%)
701,5172.0,Retail and wholesale trade,"Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals",#FF9BCD,5172.0,678.0,0.0005183046392851983,0.05,"Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals (0.05%)"
97,1629.0,Construction,"Heavy Construction, Not Elsewhere Classified",#696969,1629.0,658.0,0.0005030154168874048,0.05,"Heavy Construction, Not Elsewhere Classified (0.05%)"
489,3629.0,Manufacturing,"Electrical Industrial Apparatus, Not Elsewhere Classified",#0072FF,3629.0,652.0,0.0004984286501680668,0.05,"Electrical Industrial Apparatus, Not Elsewhere Classified (0.05%)"
536,3792.0,Manufacturing,Travel Trailers and Campers,#0072FF,3792.0,645.0,0.0004930774223288391,0.05,Travel Trailers and Campers (0.05%)
468,3571.0,Manufacturing,Electronic Computers,#0072FF,3571.0,640.0,0.0004892551167293907,0.05,Electronic Computers (0.05%)
601,4491.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Marine Cargo Handling,#C3FF00,4491.0,640.0,0.0004892551167293907,0.05,Marine Cargo Handling (0.05%)
294,2836.0,Manufacturing,"Biological Products, Except Diagnostic Substances",#0072FF,2836.0,614.0,0.0004693791276122592,0.05,"Biological Products, Except Diagnostic Substances (0.05%)"
737,5651.0,Retail and wholesale trade,Family Clothing Stores,#FF9BCD,5651.0,602.0,0.00046020559417358315,0.05,Family Clothing Stores (0.05%)
403,3433.0,Manufacturing,"Heating Equipment, Except Electric and Warm Air Furnaces",#0072FF,3433.0,602.0,0.00046020559417358315,0.05,"Heating Equipment, Except Electric and Warm Air Furnaces (0.05%)"
612,4724.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Travel Agencies,#C3FF00,4724.0,595.0,0.0004548543663343554,0.05,Travel Agencies (0.05%)
497,3643.0,Manufacturing,Current-Carrying Wiring Devices,#0072FF,3643.0,586.0,0.00044797421625534834,0.04,Current-Carrying Wiring Devices (0.04%)
805,6399.0,"Finance, Insurance, And Real Estate","Insurance Carriers, Not Elsewhere Classified",#FFFF00,6399.0,585.0,0.0004472097551354587,0.04,"Insurance Carriers, Not Elsewhere Classified (0.04%)"
526,3721.0,Manufacturing,Aircraft,#0072FF,3721.0,566.0,0.0004326849938575549,0.04,Aircraft (0.04%)
645,5021.0,Retail and wholesale trade,Furniture,#FF9BCD,5021.0,563.0,0.0004303916104978859,0.04,Furniture (0.04%)
715,5311.0,Retail and wholesale trade,Department Stores,#FF9BCD,5311.0,560.0,0.00042809822713821684,0.04,Department Stores (0.04%)
752,5921.0,Retail and wholesale trade,Liquor Stores,#FF9BCD,5921.0,556.0,0.0004250403826586582,0.04,Liquor Stores (0.04%)
191,2311.0,Manufacturing,"Men's and Boys' Suits, Coats, and Overcoats",#0072FF,2311.0,546.0,0.00041739577145976145,0.04,"Men's and Boys' Suits, Coats, and Overcoats (0.04%)"
448,3545.0,Manufacturing,"Cutting Tools, Machine Tool Accessories, and Machinists' Precision Measuring Devices",#0072FF,3545.0,544.0,0.0004158668492199821,0.04,"Cutting Tools, Machine Tool Accessories, and Machinists' Precision Measuring Devices (0.04%)"
274,2752.0,Manufacturing,"Commercial Printing, Lithographic",#0072FF,2752.0,541.0,0.0004135734658603131,0.04,"Commercial Printing, Lithographic (0.04%)"
672,5088.0,Retail and wholesale trade,"Transportation Equipment and Supplies, Except Motor Vehicles",#FF9BCD,5088.0,531.0,0.00040592885466141635,0.04,"Transportation Equipment and Supplies, Except Motor Vehicles (0.04%)"
955,8611.0,Services,Business Associations,#FF0069,8611.0,529.0,0.00040439993242163703,0.04,Business Associations (0.04%)
817,6712.0,"Finance, Insurance, And Real Estate",Offices of Bank Holding Companies,#FFFF00,6712.0,529.0,0.00040439993242163703,0.04,Offices of Bank Holding Companies (0.04%)
861,7353.0,Services,Heavy Construction Equipment Rental and Leasing,#FF0069,7353.0,520.0,0.00039751978234262996,0.04,Heavy Construction Equipment Rental and Leasing (0.04%)
889,7538.0,Services,General Automotive Repair Shops,#FF0069,7538.0,516.0,0.00039446193786307125,0.04,General Automotive Repair Shops (0.04%)
792,6163.0,"Finance, Insurance, And Real Estate",Loan Brokers,#FFFF00,6163.0,505.0,0.00038605286554428485,0.04,Loan Brokers (0.04%)
918,7997.0,Services,Membership Sports and Recreation Clubs,#FF0069,7997.0,484.0,0.0003699991820266017,0.04,Membership Sports and Recreation Clubs (0.04%)
755,5942.0,Retail and wholesale trade,Book Stores,#FF9BCD,5942.0,482.0,0.0003684702597868224,0.04,Book Stores (0.04%)
545,3826.0,Manufacturing,Laboratory Analytical Instruments,#0072FF,3826.0,472.0,0.00036082564858792566,0.04,Laboratory Analytical Instruments (0.04%)
912,7941.0,Services,Professional Sports Clubs and Promoters,#FF0069,7941.0,470.0,0.0003592967263481463,0.04,Professional Sports Clubs and Promoters (0.04%)
128,2038.0,Manufacturing,"Frozen Specialties, Not Elsewhere Classified",#0072FF,2038.0,452.0,0.0003455364261901322,0.03,"Frozen Specialties, Not Elsewhere Classified (0.03%)"
297,2843.0,Manufacturing,"Surface Active Agents, Finishing Agents, Sulfonated Oils, and Assistants",#0072FF,2843.0,450.0,0.0003440075039503528,0.03,"Surface Active Agents, Finishing Agents, Sulfonated Oils, and Assistants (0.03%)"
734,5621.0,Retail and wholesale trade,Women's Clothing Stores,#FF9BCD,5621.0,448.0,0.0003424785817105735,0.03,Women's Clothing Stores (0.03%)
573,3999.0,Manufacturing,"Manufacturing Industries, Not Elsewhere Classified",#0072FF,3999.0,448.0,0.0003424785817105735,0.03,"Manufacturing Industries, Not Elsewhere Classified (0.03%)"
578,4121.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Taxicabs,#C3FF00,4121.0,446.0,0.00034094965947079417,0.03,Taxicabs (0.03%)
637,4953.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Refuse Systems,#C3FF00,4953.0,444.0,0.0003394207372310148,0.03,Refuse Systems (0.03%)
301,2865.0,Manufacturing,"Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments",#0072FF,2865.0,444.0,0.0003394207372310148,0.03,"Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments (0.03%)"
740,5712.0,Retail and wholesale trade,Furniture Stores,#FF9BCD,5712.0,438.0,0.00033483397051167676,0.03,Furniture Stores (0.03%)
438,3532.0,Manufacturing,"Mining Machinery and Equipment, Except Oil and Gas Field Machinery and Equipment",#0072FF,3532.0,435.0,0.0003325405871520077,0.03,"Mining Machinery and Equipment, Except Oil and Gas Field Machinery and Equipment (0.03%)"
523,3714.0,Manufacturing,Motor Vehicle Parts and Accessories,#0072FF,3714.0,432.0,0.00033024720379233873,0.03,Motor Vehicle Parts and Accessories (0.03%)
543,3824.0,Manufacturing,Totalizing Fluid Meters and Counting Devices,#0072FF,3824.0,418.0,0.0003195447481138833,0.03,Totalizing Fluid Meters and Counting Devices (0.03%)
973,8744.0,Services,Facilities Support Management Services,#FF0069,8744.0,410.0,0.00031342905915476594,0.03,Facilities Support Management Services (0.03%)
646,5023.0,Retail and wholesale trade,Home furnishings,#FF9BCD,5023.0,398.0,0.0003042555257160898,0.03,Home furnishings (0.03%)
677,5099.0,Retail and wholesale trade,"Durable Goods, Not Elsewhere Classified",#FF9BCD,5099.0,396.0,0.0003027266034763105,0.03,"Durable Goods, Not Elsewhere Classified (0.03%)"
779,6035.0,"Finance, Insurance, And Real Estate","Savings Institutions, Federally Chartered",#FFFF00,6035.0,387.0,0.0002958464533973034,0.03,"Savings Institutions, Federally Chartered (0.03%)"
728,5541.0,Retail and wholesale trade,Gasoline Service Stations,#FF9BCD,5541.0,384.0,0.00029355307003763444,0.03,Gasoline Service Stations (0.03%)
946,8249.0,Services,"Vocational Schools, Not Elsewhere Classified",#FF0069,8249.0,383.0,0.0002927886089177448,0.03,"Vocational Schools, Not Elsewhere Classified (0.03%)"
490,3631.0,Manufacturing,Household Cooking Equipment,#0072FF,3631.0,382.0,0.00029202414779785506,0.03,Household Cooking Equipment (0.03%)
168,2211.0,Manufacturing,"Broadwoven Fabric Mills, Cotton",#0072FF,2211.0,380.0,0.00029049522555807573,0.03,"Broadwoven Fabric Mills, Cotton (0.03%)"
675,5093.0,Retail and wholesale trade,Scrap and Waste Materials,#FF9BCD,5093.0,377.0,0.0002882018421984067,0.03,Scrap and Waste Materials (0.03%)
114,1799.0,Construction,"Special Trade Contractors, Not Elsewhere Classified",#696969,1799.0,374.0,0.0002859084588387377,0.03,"Special Trade Contractors, Not Elsewhere Classified (0.03%)"
48,782.0,"Agriculture, Forestry, Fishing, Mining",Lawn and Garden Services,#698705,782.0,371.0,0.00028361507547906866,0.03,Lawn and Garden Services (0.03%)
760,5947.0,Retail and wholesale trade,"Gift, Novelty, and Souvenir Shops",#FF9BCD,5947.0,367.0,0.00028055723099950996,0.03,"Gift, Novelty, and Souvenir Shops (0.03%)"
913,7948.0,Services,"Racing, Including Track Operation",#FF0069,7948.0,362.0,0.0002767349254000616,0.03,"Racing, Including Track Operation (0.03%)"
458,3559.0,Manufacturing,"Special Industry Machinery, Not Elsewhere Classified",#0072FF,3559.0,353.0,0.00026985477532105457,0.03,"Special Industry Machinery, Not Elsewhere Classified (0.03%)"
795,6231.0,"Finance, Insurance, And Real Estate",Security and Commodity Exchanges,#FFFF00,6231.0,353.0,0.00026985477532105457,0.03,Security and Commodity Exchanges (0.03%)
769,5992.0,Retail and wholesale trade,Florists,#FF9BCD,5992.0,351.0,0.0002683258530812752,0.03,Florists (0.03%)
754,5941.0,Retail and wholesale trade,Sporting Goods Stores and Bicycle Shops,#FF9BCD,5941.0,348.0,0.0002660324697216062,0.03,Sporting Goods Stores and Bicycle Shops (0.03%)
694,5149.0,Retail and wholesale trade,"Groceries and Related Products, Not Elsewhere Classified",#FF9BCD,5149.0,348.0,0.0002660324697216062,0.03,"Groceries and Related Products, Not Elsewhere Classified (0.03%)"
362,3281.0,Manufacturing,Cut Stone and Stone Products,#0072FF,3281.0,347.0,0.00026526800860171654,0.03,Cut Stone and Stone Products (0.03%)
872,7378.0,Services,Computer Maintenance and Repair,#FF0069,7378.0,342.0,0.0002614457030022682,0.03,Computer Maintenance and Repair (0.03%)
853,7331.0,Services,Direct Mail Advertising Services,#FF0069,7331.0,341.0,0.00026068124188237846,0.03,Direct Mail Advertising Services (0.03%)
359,3273.0,Manufacturing,Ready-Mixed Concrete,#0072FF,3273.0,336.0,0.0002568589362829301,0.03,Ready-Mixed Concrete (0.03%)
716,5331.0,Retail and wholesale trade,Variety Stores,#FF9BCD,5331.0,333.0,0.0002545655529232611,0.03,Variety Stores (0.03%)
462,3564.0,Manufacturing,Industrial and Commercial Fans and Blowers and Air Purification Equipment,#0072FF,3564.0,330.0,0.00025227216956359206,0.03,Industrial and Commercial Fans and Blowers and Air Purification Equipment (0.03%)
529,3731.0,Manufacturing,Ship Building and Repairing,#0072FF,3731.0,325.0,0.0002484498639641437,0.02,Ship Building and Repairing (0.02%)
928,8052.0,Services,Intermediate Care Facilities,#FF0069,8052.0,317.0,0.00024233417500502634,0.02,Intermediate Care Facilities (0.02%)
856,7336.0,Services,Commercial Art and Graphic Design,#FF0069,7336.0,316.0,0.00024156971388513665,0.02,Commercial Art and Graphic Design (0.02%)
437,3531.0,Manufacturing,Construction Machinery and Equipment,#0072FF,3531.0,316.0,0.00024156971388513665,0.02,Construction Machinery and Equipment (0.02%)
693,5148.0,Retail and wholesale trade,Fresh Fruits and Vegetables,#FF9BCD,5148.0,315.0,0.000240805252765247,0.02,Fresh Fruits and Vegetables (0.02%)
